客户名称;股票代码;报告期;金额(万元)
北京博京电子有限公司;-;2015-12-31;13,884.21
百富计算机技术(深圳)有限公司;-;2015-12-31;8,148.81
汕头超声印制板公司;-;2015-12-31;5,607.61
深圳市比亚迪供应链管理有限公司;-;2015-12-31;5,558.02
汕头超声印制板(二厂)有限公司;-;2015-12-31;3,272.74
珠海格力电器股份有限公司;000651.SZ;2015-12-31;2,973.56
格力电器(合肥)有限公司;-;2015-12-31;2,726.21
格力电器(郑州)有限公司;-;2015-12-31;2,082.83
格力电器(武汉)有限公司;-;2015-12-31;2,059.02
格力电器(芜湖)有限公司;-;2015-12-31;1,375.44
格力电器(石家庄)有限公司;-;2015-12-31;1,263.05
格力电器(重庆)有限公司;-;2015-12-31;1,046.64
浙江近点电子股份有限公司;839262.OC;2017-12-31;228.80
比亚迪汽车工业有限公司;-;2015-12-31;2.44
惠州比亚迪电子有限公司;-;2015-12-31;0.67
比亚迪汽车有限公司;-;2015-12-31;0.63
