客户名称;股票代码;报告期;金额(万元)
株洲硬质合金集团有限公司;-;2016-06-30;5,311.62
IMC国际金属切削(大连)有限公司;-;2016-06-30;2,560.77
河南省大地合金股份有限公司;T21179.OC;2016-06-30;2,104.91
株洲肯特硬质合金有限公司;-;2016-06-30;1,474.83
五矿有色金属股份有限公司;-;2016-06-30;1,335.69
长沙华信合金机电有限公司;-;2016-06-30;1,307.78
济南市冶金科学研究所有限责任公司;-;2016-06-30;1,163.08
百利精密刀具(南昌)有限公司;-;2016-06-30;1,146.24
湖南博云东方粉末冶金有限公司;-;2016-06-30;985.33
浙江恒成硬质合金有限公司;-;2016-06-30;589.41
温岭市力锋精密工具有限公司;856225.ZJE;2016-06-30;468.11
常州市海力工具有限公司;-;2016-06-30;445.34
株洲同一硬质合金股份有限公司;-;2016-06-30;352.11
西安驰达飞机零部件制造股份有限公司;834913.OC;2017-12-31;323.56
